RID,Weights,Segment,Brand,Buy Client's Brand,Average price pay for the yogurt most typically purchased,Price Paid Range,Price Mid-Point,Number of Units Purchased,Number of Units Purchased Groups,Where Typically Purchase Yogurt,Store where typically buy yogurt,How many times per week eat last yogurt purchased,Time of day eat yogurt: Before breakfast,Time of day eat yogurt: At breakfast,Time of day eat yogurt: Mid-morning,Time of day eat yogurt: At lunch,Time of day eat yogurt: Mid-afternoon,Time of day eat yogurt: At dinner,Time of day eat yogurt: After dinner/early evening,Time of day eat yogurt: Before going to bed,Breakfast,Lunch,Dinner,Snack,Banana,Blueberry,Boysenberry,Strawberry,Vanilla,Coffee,Raspberry,Price Importance,Brand Name Importance,Fat Content Importance,Calorie Content Importance,Diet Fad Importance,Organic Importance,Non-Dairy Importance,Flavor Importance,Creaminess Importance,Dietary Fiber Content Importance,Vitamin D Fortified Importance,Price Satisfied,Brand Name Satisfied,Fat Content Satisfied,Calorie Content Satisfied,Diet Fad Satisfied,Organic Satisfied,Non-Dairy Satisfied,Flavor Satisfied,Creaminess Satisfied,Dietary Fiber Satisfied,Vitamin D Fortified Satisfied,Satisfied,Recommand,Purchase Again,Gender,Age,Ethnicity,Education,Employment Status,Household Income,Descriptive Word,x
2201,68412.9156,Health-Conscious,Client,Buy,$1.25,$1.00 - $1.09,$1.05,6,Medium,Other,Convenience Store,3,No,No,Yes,Yes,No,No,Yes,No,0,1,0,1,No,No,Yes,Yes,Yes,No,Yes,Only somewhat unimportant,Only somewhat important,Only somewhat unimportant,Extremely important,Only somewhat important,Only somewhat unimportant,Extremely important,Extremely important,Only somewhat important,Only somewhat unimportant,Extremely unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Female,18 to 35 years old,African-American,Bachelors Degree,Stay at home husband/wife or mom/dad,"$40,000 - $49,999",Delicious,Female
2205,207169.222,Health-Conscious,Major Competitor,Not Buy,$1.59,$1.00 - $1.09,$1.05,5,Low,Other,Warehouse Store,5,No,Yes,Yes,No,No,No,No,No,1,0,0,0,No,Yes,No,Yes,No,Yes,Yes,Extremely unimportant,Extremely important,Only somewhat important,Extremely unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Extremely important,Extremely important,Only somewhat unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Female,18 to 35 years old,African-American,Graduate or Professional Degree,Stay at home husband/wife or mom/dad,"$25,000 - $39,999",Smooth,Female
2207,210488.049,Health-Conscious,C,Not Buy,$1.24,$1.10 - $1.19,$1.15,6,Medium,Mass Discount Retailer,Warehouse Store,6,Yes,Yes,Yes,No,No,No,No,Yes,1,0,0,1,No,Yes,Yes,Yes,No,No,Yes,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Not at all Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,41 to 50 years old,Other,Associate Degree,Employed as a mid-level manager,"$40,000 - $49,999",Delicious,Female
2211,258052.018,Dessert Lover,D,Not Buy,$1.23,$1.00 - $1.09,$1.05,7,Medium,Locally Owned Grocery Store,Local Grocery Store,3,Yes,No,Yes,No,No,No,No,No,0,0,0,1,Yes,No,No,Yes,No,Yes,No,Only somewhat important,Only somewhat important,Only somewhat important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Will Definitely Recommand,Extremely Likely,Female,51 to 60 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$100,000 - $149,999",Flavourful,Female
2214,248884.956,Health-Conscious,Client,Buy,$1.32,$1.00 - $1.09,$1.05,7,Medium,Other,Convenience Store,6,No,Yes,No,Yes,Yes,Yes,No,No,1,1,1,0,No,No,Yes,No,No,Yes,Yes,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,May Recommand,Somewhat Likely,Female,18 to 35 years old,Asian,Graduate or Professional Degree,Employed in upper-management,"$25,000 - $39,999",Variety,Female
2215,218321.586,Normal Food Consumer,Major Competitor,Not Buy,$1.34,$1.00 - $1.09,$1.05,5,Low,Mass Discount Retailer,Local Grocery Store,1,No,Yes,No,No,No,No,No,No,1,0,0,0,Yes,Yes,No,No,No,No,Yes,Extremely important,Extremely important,Extremely unimportant,Only somewhat important,Only somewhat unimportant,Only somewhat unimportant,Extremely important,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Associate Degree,Stay at home husband/wife or mom/dad,"$60,000 - $74,999",Fulfilling,Male
2218,136825.831,Health-Conscious,Major Competitor,Not Buy,$1.22,$1.00 - $1.09,$1.05,6,Medium,National Health Food Store,Convenience Store,1,No,Yes,No,No,Yes,No,No,Yes,1,0,0,1,No,No,No,Yes,No,Yes,Yes,Only somewhat important,Only somewhat unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,36 to 40 years old,African-American,Graduate or Professional Degree,Stay at home husband/wife or mom/dad,"$60,000 - $74,999",Tasty,Female
2220,136825.831,Health-Conscious,Client,Buy,$1.05,$1.00 - $1.09,$1.05,8,High,Other,Convenience Store,5,No,Yes,No,Yes,Yes,Yes,No,No,1,1,1,0,No,Yes,No,Yes,No,No,No,Only somewhat unimportant,Extremely important,Only somewhat important,Only somewhat important,Only somewhat unimportant,Only somewhat unimportant,Only somewhat important,Extremely important,Only somewhat important,Only somewhat unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,May Not Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Bachelors Degree,"Employed, but not at a management level",Decline to answer,Delicious,Female
2224,93447.3374,Dessert Lover,D,Not Buy,$1.38,$1.20 - $1.29,$1.25,5,Low,National Health Food Store,Convenience Store,4,No,No,No,Yes,No,Yes,No,No,0,1,1,0,No,No,Yes,Yes,Yes,No,Yes,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Extremely unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Male,68 years old and over,Asian,Bachelors Degree,"Employed, but not at a management level","$75,000 - $99,999",Delicious,Male
2225,136825.831,Normal Food Consumer,Client,Buy,$1.17,$1.00 - $1.09,$1.05,7,Medium,National Health Food Store,Local Grocery Store,3,No,No,Yes,No,Yes,Yes,No,Yes,0,0,1,1,No,Yes,No,Yes,Yes,No,No,Extremely unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Extremely unimportant,Extremely important,Extremely important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,,Somewhat Likely,Female,61 to 67 years old,African-American,Graduate or Professional Degree,Employed in upper-management,"$50,000 - $59,999",Tasty,Female
2227,171241.246,Dessert Lover,C,Not Buy,$1.17,$1.20 - $1.29,$1.25,9,High,National Grocery Chain Store,Warehouse Store,2,No,Yes,No,No,No,No,No,No,1,0,0,0,No,Yes,Yes,Yes,No,No,Yes,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat important,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,18 to 35 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$60,000 - $74,999",Fulfilling,Female
2228,308197.141,Normal Food Consumer,Major Competitor,Not Buy,$1.24,$1.10 - $1.19,$1.15,5,Low,National Health Food Store,Convenience Store,1,No,No,Yes,No,No,Yes,Yes,No,0,0,1,1,No,Yes,Yes,No,No,No,No,Only somewhat important,Neither important nor unimportant,Only somewhat important,Only somewhat important,Neither important nor unimportant,Extremely unimportant,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Male,68 years old and over,African-American,Bachelors Degree,Employed as a mid-level manager,"$50,000 - $59,999",Healthy,Male
2234,128117.738,Normal Food Consumer,Client,Buy,$1.11,$1.40 - $1.49,$1.45,8,High,Shopping Club,Convenience Store,5,No,Yes,No,No,No,No,No,No,1,0,0,0,No,Yes,No,Yes,Yes,No,No,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Somewhat Dissatisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,68 years old and over,African-American,Bachelors Degree,Employed as a mid-level manager,"$50,000 - $59,999",Delicious,Female
2235,95407.5196,Dessert Lover,Major Competitor,Not Buy,$1.24,$1.00 - $1.09,$1.05,7,Medium,Shopping Club,Local Grocery Store,6,No,Yes,Yes,Yes,Yes,No,No,No,1,1,0,1,No,No,Yes,Yes,No,No,Yes,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Only somewhat important,Extremely important,Extremely unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Associate Degree,"Employed, but not at a management level","$150,000 - $199,999",Delicious,Male
2238,101892.317,Dessert Lover,C,Not Buy,$1.21,$1.00 - $1.09,$1.05,7,Medium,National Health Food Store,Warehouse Store,6,No,Yes,Yes,No,No,No,No,No,1,0,0,0,No,No,Yes,No,Yes,No,No,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Not at all Satisfied,Will Definitely Recommand,Extremely Likely,Female,51 to 60 years old,African-American,Bachelors Degree,Employed in upper-management,"$60,000 - $74,999",Healthy,Female
2239,136825.831,Dessert Lover,C,Not Buy,$1.14,$1.40 - $1.49,$1.45,8,High,Other,Convenience Store,4,No,Yes,No,No,No,No,No,Yes,1,0,0,0,No,Yes,Yes,Yes,No,Yes,No,Neither important nor unimportant,Extremely important,Extremely unimportant,Extremely important,Extremely important,Extremely unimportant,Extremely important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Some College (no degree),Stay at home husband/wife or mom/dad,"$50,000 - $59,999",Flavourful,Male
2243,118048.761,Dessert Lover,D,Not Buy,$1.18,$1.10 - $1.19,$1.15,7,Medium,Mass Discount Retailer,Convenience Store,2,No,No,Yes,No,No,No,No,Yes,0,0,0,1,No,Yes,Yes,Yes,No,No,No,Extremely unimportant,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Extremely unimportant,Only somewhat unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Somewhat Likely,Female,18 to 35 years old,Asian,Some College (no degree),"Employed, but not at a management level","$75,000 - $99,999",Delicious,Female
2244,109160.793,Dessert Lover,D,Not Buy,$1.20,$1.00 - $1.09,$1.05,6,Medium,Shopping Club,Warehouse Store,4,No,No,Yes,No,No,No,No,No,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Only somewhat important,Neither important nor unimportant,Extremely unimportant,Only somewhat important,Extremely important,Extremely unimportant,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Bachelors Degree,Employed as a mid-level manager,"$60,000 - $74,999",Delicious,Female
2246,118048.761,Health-Conscious,D,Not Buy,$1.28,$1.00 - $1.09,$1.05,6,Medium,Other,Warehouse Store,7,No,Yes,Yes,No,Yes,No,No,Yes,1,0,0,1,No,Yes,No,Yes,Yes,No,No,Neither important nor unimportant,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat important,Extremely important,Extremely important,Extremely unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,51 to 60 years old,African-American,Graduate or Professional Degree,Retired,"$25,000 - $39,999",Tasty,Female
2249,258052.018,Health Fanatic,Client,Buy,$1.31,$1.70 or more,$1.75,7,Medium,Shopping Club,Local Grocery Store,4,Yes,No,Yes,No,No,No,Yes,No,0,0,0,1,No,Yes,Yes,Yes,Yes,No,Yes,Only somewhat important,Extremely important,Only somewhat important,Extremely important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,61 to 67 years old,Asian,Bachelors Degree,Employed as a mid-level manager,Decline to answer,Smooth,Female
2252,136825.831,Normal Food Consumer,Client,Buy,$1.50,$1.10 - $1.19,$1.15,5,Low,Mass Discount Retailer,Retailer,3,Yes,Yes,Yes,No,No,No,No,Yes,1,0,0,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Only somewhat unimportant,Extremely important,Extremely important,Extremely important,Extremely important,Only somewhat unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Bachelors Degree,Employed as a mid-level manager,"$50,000 - $59,999",Smooth,Female
2254,206189.704,Health-Conscious,E,Not Buy,$1.36,$1.20 - $1.29,$1.25,7,Medium,Shopping Club,Local Grocery Store,3,Yes,Yes,Yes,Yes,No,No,No,Yes,1,1,0,1,No,No,Yes,Yes,No,Yes,Yes,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Female,18 to 35 years old,African-American,Graduate or Professional Degree,Employed in upper-management,"$60,000 - $74,999",Variety,Female
2256,297248.719,Health-Conscious,C,Not Buy,$1.12,$1.00 - $1.09,$1.05,8,High,National Health Food Store,Convenience Store,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,1,0,1,1,No,Yes,Yes,No,No,No,No,Extremely important,Extremely important,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely unimportant,Extremely important,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,18 to 35 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$60,000 - $74,999",Healthy,Female
2260,171241.246,Health-Conscious,Client,Buy,$1.32,$1.10 - $1.19,$1.15,5,Low,Locally Owned Grocery Store,Warehouse Store,1,Yes,Yes,Yes,No,No,No,No,No,1,0,0,1,Yes,Yes,No,Yes,No,No,No,Extremely unimportant,Extremely unimportant,Extremely unimportant,Only somewhat important,Extremely important,Extremely unimportant,Extremely unimportant,Neither important nor unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Somewhat Likely,Female,61 to 67 years old,Caucasian,Bachelors Degree,"Employed, but not at a management level","$60,000 - $74,999",Flavourful,Female
2271,127521.003,Normal Food Consumer,Client,Buy,$1.07,$1.30 - $1.39,$1.35,8,Medium,Other,Convenience Store,5,No,No,Yes,No,Yes,No,Yes,No,0,0,0,1,No,No,Yes,Yes,No,No,No,Only somewhat important,Only somewhat important,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,Only somewhat important,Extremely important,Only somewhat important,Only somewhat important,Extremely important,,,,,,,,,,,,Very Satisfied,,Somewhat Likely,Male,61 to 67 years old,Hispanic,Graduate or Professional Degree,Stay at home husband/wife or mom/dad,"$50,000 - $59,999",Fulfilling,Male
2273,136825.831,Normal Food Consumer,Major Competitor,Not Buy,$1.11,$1.10 - $1.19,$1.15,8,High,Locally Owned Health Food Store,Convenience Store,4,No,Yes,Yes,No,Yes,No,No,No,1,0,0,1,No,Yes,No,Yes,No,No,Yes,Only somewhat important,Only somewhat important,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,Only somewhat important,Extremely important,Only somewhat important,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Somewhat Likely,Female,61 to 67 years old,African-American,Graduate or Professional Degree,Employed as a mid-level manager,"$60,000 - $74,999",Typical,Female
2278,259277.911,Dessert Lover,Client,Buy,$1.22,$1.30 - $1.39,$1.35,9,High,National Grocery Chain Store,Local Grocery Store,5,Yes,Yes,Yes,No,No,Yes,No,No,1,0,1,1,No,Yes,Yes,No,No,No,Yes,Neither important nor unimportant,Only somewhat important,Only somewhat important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Very Satisfied,May Recommand,Neither Likely nor Unlikely,Female,41 to 50 years old,Asian,Associate Degree,"Other, please specify:","$75,000 - $99,999",Satisfying,Female
2281,178738.691,Normal Food Consumer,C,Not Buy,$1.18,$1.00 - $1.09,$1.05,7,Medium,Mass Discount Retailer,Convenience Store,6,No,No,Yes,No,No,No,No,No,0,0,0,0,No,No,Yes,Yes,No,No,No,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,May Recommand,Extremely Likely,Female,68 years old and over,Asian,Some College (no degree),"Employed, but not at a management level","$150,000 - $199,999",Tasty,Female
2283,390718.882,Health-Conscious,Client,Buy,$1.43,$1.00 - $1.09,$1.05,4,Low,Convenience Store,Local Grocery Store,3,Yes,No,Yes,No,No,Yes,No,Yes,0,0,1,1,No,Yes,Yes,No,No,No,No,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Only somewhat important,Only somewhat important,Extremely unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,May Not Recommand,Somewhat Likely,Female,68 years old and over,African-American,Bachelors Degree,"Employed, but not at a management level","$75,000 - $99,999",Typical,Female
2285,136825.831,Dessert Lover,C,Not Buy,$1.07,$1.30 - $1.39,$1.35,7,Medium,Shopping Club,Local Grocery Store,3,No,Yes,No,Yes,No,No,No,No,1,1,0,0,No,Yes,Yes,Yes,No,Yes,Yes,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Extremely important,Extremely unimportant,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Graduate or Professional Degree,Retired,"$25,000 - $39,999",Delicious,Male
2289,128117.738,Dessert Lover,C,Not Buy,$1.17,$1.00 - $1.09,$1.05,8,Medium,Other,Warehouse Store,2,Yes,No,Yes,Yes,No,Yes,Yes,No,0,1,1,1,No,No,Yes,No,No,No,No,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Dissatisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,61 to 67 years old,African-American,Some College (no degree),Stay at home husband/wife or mom/dad,"$60,000 - $74,999",Healthy,Female
2294,68412.9156,Normal Food Consumer,Major Competitor,Not Buy,$1.06,$1.00 - $1.09,$1.05,7,Medium,National Health Food Store,Retailer,2,Yes,Yes,Yes,No,Yes,No,No,Yes,1,0,0,1,No,Yes,No,Yes,No,Yes,No,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Somewhat Likely,Female,41 to 50 years old,African-American,Some College (no degree),"Employed, but not at a management level","$40,000 - $49,999",Smooth,Female
2295,136825.831,Normal Food Consumer,Client,Buy,$1.18,$1.10 - $1.19,$1.15,6,Medium,Mass Discount Retailer,Warehouse Store,2,Yes,Yes,No,No,No,No,No,No,1,0,0,0,No,No,No,No,No,No,Yes,Extremely unimportant,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat unimportant,Extremely unimportant,Extremely important,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Will Definitely Recommand,Extremely Likely,Male,41 to 50 years old,African-American,Some College (no degree),Employed as a mid-level manager,"$50,000 - $59,999",Delicious,Male
2300,171449.576,Dessert Lover,Major Competitor,Not Buy,$1.17,$1.00 - $1.09,$1.05,7,Medium,Locally Owned Grocery Store,Convenience Store,7,Yes,No,Yes,Yes,No,No,No,Yes,0,1,0,1,No,Yes,Yes,Yes,Yes,Yes,No,Extremely unimportant,Extremely important,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely unimportant,Extremely important,Extremely important,Extremely important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,51 to 60 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$50,000 - $59,999",Delicious,Female
2301,128117.738,Health-Conscious,D,Not Buy,$1.11,$1.00 - $1.09,$1.05,8,Medium,Locally Owned Grocery Store,Local Grocery Store,2,Yes,Yes,No,Yes,No,Yes,No,No,1,1,1,0,No,No,Yes,No,Yes,Yes,Yes,Only somewhat important,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Female,68 years old and over,African-American,Some College (no degree),Student,"$60,000 - $74,999",Variety,Female
2302,198865.004,Normal Food Consumer,C,Not Buy,$1.25,$1.00 - $1.09,$1.05,8,High,Other,Retailer,4,No,Yes,No,Yes,No,No,No,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Not Recommand at All,Extremely Likely,Female,61 to 67 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$50,000 - $59,999",Delicious,Female
2308,136825.831,Normal Food Consumer,Major Competitor,Not Buy,$1.24,$1.10 - $1.19,$1.15,6,Medium,National Grocery Chain Store,Warehouse Store,5,Yes,Yes,Yes,Yes,No,No,Yes,No,1,1,0,1,No,No,No,Yes,No,No,No,Neither important nor unimportant,Only somewhat important,Only somewhat important,Extremely important,Only somewhat unimportant,Extremely unimportant,Only somewhat important,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat unimportant,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Neither Likely nor Unlikely,Male,51 to 60 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$25,000 - $39,999",Tasty,Male
2313,101892.317,Normal Food Consumer,Client,Buy,$1.25,$1.10 - $1.19,$1.15,6,Medium,Mass Discount Retailer,Local Grocery Store,5,No,No,No,No,Yes,No,Yes,No,0,0,0,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Only somewhat important,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Bachelors Degree,Employed in upper-management,"$75,000 - $99,999",Delicious,Female
2314,68412.9156,Normal Food Consumer,D,Not Buy,$1.23,$1.30 - $1.39,$1.35,7,Medium,Locally Owned Grocery Store,Convenience Store,4,No,Yes,No,Yes,No,No,No,Yes,1,1,0,0,No,No,No,No,No,Yes,No,Only somewhat important,Extremely important,Only somewhat unimportant,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,18 to 35 years old,African-American,Bachelors Degree,Employed as a mid-level manager,"$100,000 - $149,999",Delicious,Male
2317,68412.9156,Health-Conscious,C,Not Buy,$1.06,$1.00 - $1.09,$1.05,9,High,Shopping Club,Convenience Store,3,No,No,Yes,No,No,No,No,No,0,0,0,0,No,Yes,Yes,No,No,Yes,Yes,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Only somewhat unimportant,Neither important nor unimportant,Only somewhat important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$40,000 - $49,999",Healthy,Female
2322,330562.678,Dessert Lover,Client,Buy,$1.07,$1.40 - $1.49,$1.45,9,High,National Health Food Store,Local Grocery Store,3,No,Yes,Yes,No,No,No,Yes,No,1,0,0,1,No,No,Yes,Yes,No,No,No,Neither important nor unimportant,Extremely important,Only somewhat unimportant,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Only somewhat important,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Will Definitely Recommand,Extremely Likely,Female,18 to 35 years old,African-American,Graduate or Professional Degree,Employed as a mid-level manager,"$100,000 - $149,999",Delicious,Female
2324,207169.222,Normal Food Consumer,C,Not Buy,$1.16,$1.10 - $1.19,$1.15,7,Medium,National Health Food Store,Health Food Store,1,Yes,Yes,Yes,No,No,No,No,No,1,0,0,1,No,Yes,No,No,No,No,No,Only somewhat important,Extremely important,Only somewhat unimportant,Only somewhat important,Only somewhat unimportant,Extremely unimportant,Only somewhat important,Extremely important,Only somewhat important,Only somewhat unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Some College (no degree),"Employed, but not at a management level","$25,000 - $39,999",Tasty,Female
